Experiment,Optimizer,Learning_Rate,Batch_Size,Accuracy,Precision,Recall,F1,Execution_Time
18,AdamW,0.001,64,0.8993,0.8992999999999999,0.9008216291868013,0.898576018895367,7179.429805994034
12,SGD,0.001,64,0.9477,0.9476999999999999,0.9476750193703285,0.9475980399745847,7454.429359436035
2,SGD,0.01,32,0.9506,0.9505999999999999,0.9504866144307547,0.9504369235540258,7782.979009389877
21,SGD,0.0001,64,0.9372,0.9372,0.937371353529406,0.9370682843316759,9624.892358064651
27,AdamW,0.0001,64,0.9572,0.9571999999999999,0.9571780356265773,0.957137932550982,9637.274084806442
36,AdamW,1e-05,64,0.9309,0.9309,0.9315985380678488,0.9306285365515233,9859.254359006882
32,Adam,1e-05,32,0.9342,0.9341999999999999,0.9347929567696844,0.9341655546951955,9941.79959154129
30,SGD,1e-05,64,0.9273,0.9273,0.9273980994234204,0.9270556479660106,11441.766455411911
31,Adam,1e-05,16,0.9396,0.9395999999999999,0.9400039993492211,0.9394521814321065,11414.059204339981
33,Adam,1e-05,64,0.9328,0.9328000000000001,0.9332926768122121,0.9325572644995394,11635.780586242676
9,AdamW,0.01,64,0.8109,0.8109,0.8236423392091187,0.8118149923716782,11671.611768960953
3,SGD,0.01,64,0.9567,0.9567,0.956717211427869,0.9565914734025573,11533.270558834076
8,AdamW,0.01,32,0.8024,0.8024000000000001,0.8106361704668025,0.8036446278802952,11831.371750116348
29,SGD,1e-05,32,0.9299,0.9299,0.930217018733128,0.9296282541929027,11839.469928264618
17,AdamW,0.001,32,0.8925,0.8925000000000001,0.8934891435575075,0.8920823431261405,12077.958549261093
26,AdamW,0.0001,32,0.9274,0.9273999999999999,0.9273000327118657,0.927067987245992,12075.065329551697
15,Adam,0.001,64,0.9126,0.9126,0.9131656590568383,0.9125434750351603,12088.983706474304
6,Adam,0.01,64,0.8379,0.8379,0.8432461320608896,0.8391312129437756,12147.124768733978
5,Adam,0.01,32,0.8308,0.8308,0.8326340124492587,0.830512408981121,12249.582565784454
24,Adam,0.0001,64,0.9553,0.9552999999999999,0.9554489462422129,0.9552304846906752,12492.243258237839
1,SGD,0.01,16,0.935,0.9349999999999999,0.9350220290326728,0.9349039616949126,12723.702756404877
20,SGD,0.0001,32,0.9371,0.9371,0.9370786920543651,0.9369265186361229,12734.838453054428
10,SGD,0.001,16,0.9551,0.9551000000000001,0.9553209175486224,0.9550007586857989,13155.585891008377
28,SGD,1e-05,16,0.9336,0.9335999999999999,0.9339540907023274,0.9333260239243202,13299.005132436752
19,SGD,0.0001,16,0.9378,0.9378,0.9380777228661566,0.9375857862795718,13551.834797859192
7,AdamW,0.01,16,0.7512,0.7512,0.7934464160461403,0.7518984496062677,13747.801807880402
13,Adam,0.001,16,0.9001,0.9000999999999999,0.9005935851493142,0.9001390662774833,13951.173589468002
22,Adam,0.0001,16,0.9294,0.9294,0.9299900282132676,0.9294088818187012,13929.810923814774
16,AdamW,0.001,16,0.8885,0.8885,0.889860067249719,0.8883988746249261,14020.853318214417
4,Adam,0.01,16,0.8076,0.8076000000000001,0.8100823188371908,0.8080682974887241,14061.407070159912
34,AdamW,1e-05,16,0.9499,0.9498999999999999,0.9500853122510964,0.9497496223009829,14083.718371391296
25,AdamW,0.0001,16,0.9273,0.9273,0.92763941919038,0.9270634474564525,14109.452459573746
23,Adam,0.0001,32,0.9339,0.9339000000000001,0.9339602987618754,0.9337404418564226,16035.304469347
35,AdamW,1e-05,32,0.9352,0.9352,0.9355930058947107,0.9349790219571898,16222.803907871246
11,SGD,0.001,32,0.949,0.9490000000000001,0.9491722237239593,0.9488294973821269,19051.67295384407
14,Adam,0.001,32,0.8993,0.8993,0.9002590378165127,0.8986863795538635,35342.12459540367
